['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Deep learning: new computational modelling techniques for genomics']	['Nature Reviews Genetics']	['20']	['(7)']	[',\npp.\n389-403\n']	['2019']	['\n92\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Applications of machine learning in drug discovery and development']	['Nature Reviews Drug Discovery']	['18']	['(6)']	[',\npp.\n463-477\n']	['2019']	['\n93\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['False signals induced by single-cell imputation [version 2; peer review: 3 approved, 1 approved with reservations]']	['F1000Research']	['7']	[',1740']	[]	['2019']	['\n9\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['The relationship of human tissue microRNAs with those from body fluids']	['Scientific Reports']	['10']	['(1)']	[',5644']	['2020']	['\n3\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Elevated exosomal secretion of miR-124-3p from spinal neurons positively associates with disease severity in ALS']	['Experimental Neurology']	['333']	[',113414']	[]	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Exercise training reveals micro-RNAs associated with improved cardiac function and electrophysiology in rats with heart failure after myocardial infarction']	['Journal of Molecular and Cellular Cardiology']	['148']	[',\npp.\n106-119\n']	[]	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['What’s Sex Got to Do With COVID-19? Gender-Based Differences in the Host Immune Response to Coronaviruses']	['Frontiers in Immunology']	['11']	[',2147']	[]	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Approaching sex differences in cardiovascular non-coding rna research']	['International Journal of Molecular Sciences']	['21']	['(14)']	[',4890']	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Mirna clusters with down-regulated expression in human colorectal cancer and their regulation']	['International Journal of Molecular Sciences']	['21']	['(13)']	[',4633']	['2020']	['\n1\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Changes in circulating microRNA and arterial stiffness following high-intensity interval and moderate intensity continuous exercise']	['Physiological Reports']	['8']	['(9)']	[',e14431']	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Hsa-miR-584-5p as a novel candidate biomarker in Turkish men with severe coronary artery disease']	['Molecular Biology Reports']	['47']	['(2)']	[',\npp.\n1361-1369\n']	['2020']	['\n1\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Sex Differences in Systemic Lupus Erythematosus: Epidemiology, Clinical Considerations, and Disease Pathogenesis']	['Mayo Clinic Proceedings']	['95']	['(2)']	[',\npp.\n384-394\n']	['2020']	['\n4\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['MicroRNA miR-21 and miR-146a expression in male with a combination of bronchial asthma and chronic obstructive pulmonary disease | [Экспрессия микроРНК miR-21 и miR-146а у пациентов мужского пола с перекрестным фенотипом бронхиальной астмы и хронической обструктивной болезни легких]']	['Pulmonologiya']	['30']	['(3)']	[',\npp.\n263-269\n']	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Transcriptional sex and regional differences in paired human atrial and ventricular cardiac biopsies collected in vivo']	['Physiological Genomics']	['52']	['(2)']	[',\npp.\n110-120\n']	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Crosstalk between circulating microRNAs and chronotypical features in subjects with metabolic syndrome']	['Chronobiology International']	['\npp.\n1-11\n']	[]	[]	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Sexual dimorphism of miRNA signatures in feto-placental endothelial cells is associated with altered barrier function and actin organization']	['Clinical Science']	['134']	['(1)']	[',\npp.\n39-51\n']	['2020']	['\n2\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Epigenetics of spondyloarthritis']	['Joint Bone Spine']	[]	[]	[]	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Genome-wide microRNA expression analysis in human placenta reveals sex-specific patterns: an ENVIRONAGE birth cohort study']	['Epigenetics']	[]	[]	[]	['2020']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Translational Potential of Non-coding RNAs for Cardiovascular Disease']	['Advances in Experimental Medicine and Biology']	['1229']	[',\npp.\n343-354\n']	[]	['2020']	['\n1\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Circulating Serum MicroRNAs as Potential Diagnostic Biomarkers of Posttraumatic Stress Disorder: A Pilot Study']	['Frontiers in Genetics']	['10']	[',1042']	[]	['2019']	[]
['Identification and Analysis of Human Sex-biased MicroRNAs']	['X-chromosome-linked miR548am-5p is a key regulator of sex disparity in the susceptibility to mitochondria-mediated apoptosis']	['Cell Death and Disease']	['10']	['(9)']	[',673']	['2019']	['\n8\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Sexual dimorphism in the incidence of human cancers']	['BMC Cancer']	['19']	['(1)']	[',684']	['2019']	['\n1\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Age-related differences in miRNA expression in Mexican-American newborns and children']	['International Journal of Environmental Research and Public Health']	['16']	['(4)']	[',524']	['2019']	['\n1\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['Molecular markers in sex differences in cancer']	['Toxicological Research']	['35']	['(4)']	[',\npp.\n331-341\n']	['2019']	['\n3\n']
['Identification and Analysis of Human Sex-biased MicroRNAs']	['MicroRNAs in autism spectrum disorders']	['Current Pharmaceutical Design']	['25']	['(41)']	[',\npp.\n4368-4378\n']	['2019']	['\n2\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Exportin-5 SUMOylation promotes hepatocellular carcinoma progression']	['Experimental Cell Research']	['395']	['(2)']	[',112219']	['2020']	[]
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Modulation of telomerase expression and function by miRNAs: Anti-cancer potential']	['Life Sciences']	['259']	[',118387']	[]	['2020']	[]
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Micrornas responding to space radiation']	['International Journal of Molecular Sciences']	['21']	['(18)']	[',6603']	['2020']	[]
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['MicroRNAs in the regulation of cellular redox status and its implications in myocardial ischemia-reperfusion injury']	['Redox Biology']	['36']	[',101607']	[]	['2020']	['\n1\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['LncRNA HOTAIR is a novel endothelial mechanosensitive gene']	['Journal of Cellular Physiology']	['235']	['(5)']	[',\npp.\n4631-4642\n']	['2020']	['\n1\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['MiR-182 promotes glioma progression by targeting FBXW7']	['Journal of the Neurological Sciences']	['411']	[',116689']	[]	['2020']	[]
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Prolyl Isomerase Pin1 in Human Cancer: Function, Mechanism, and Significance']	['Frontiers in Cell and Developmental Biology']	['8']	[',168']	[]	['2020']	['\n1\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Identification and Characteristics of Batrachuperus karlschmidti miRNA Using Illumina Deep Sequencing']	['Russian Journal of Bioorganic Chemistry']	['46']	['(2)']	[',\npp.\n207-216\n']	['2020']	[]
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Regulatory mechanism of microrna expression in cancer']	['International Journal of Molecular Sciences']	['21']	['(5)']	[',1723']	['2020']	['\n10\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Micro-RNA and the features of metabolic syndrome: A narrative review']	['Mini-Reviews in Medicinal Chemistry']	['20']	['(7)']	[',\npp.\n626-635\n']	['2020']	['\n1\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['The mammalian LINC complex component SUN1 regulates muscle regeneration by modulating drosha activity']	['eLife']	['8']	[',e49485']	[]	['2019']	['\n2\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Role of MicroRNAs in the Regulation of Redox-Dependent Processes']	['Biochemistry (Moscow)']	['84']	['(11)']	[',\npp.\n1233-1246\n']	['2019']	['\n5\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['NK cells: An attractive candidate for cancer therapy']	['Journal of Cellular Physiology']	['234']	['(11)']	[',\npp.\n19352-19365\n']	['2019']	['\n10\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Targeting nuclear exporter protein XPO1/CRM1 in gastric cancer']	['International Journal of Molecular Sciences']	['20']	['(19)']	[',4826']	['2019']	['\n3\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Prognostic roles of the transcriptional expression of exportins in hepatocellular carcinoma']	['Bioscience Reports']	['39']	['(8)']	[',BSR20190827']	['2019']	['\n2\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Antitumor effect of pyrogallol via miR-134 mediated s phase arrest and inhibition of PI3K/AKT/Skp2/cMYC signaling in hepatocellular carcinoma']	['International Journal of Molecular Sciences']	['20']	['(16)']	[',3985']	['2019']	[]
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Discovery of 4,6-bis(benzyloxy)-3-phenylbenzofuran as a novel Pin1 inhibitor to suppress hepatocellular carcinoma via upregulating microRNA biogenesis']	['Bioorganic and Medicinal Chemistry']	['27']	['(11)']	[',\npp.\n2235-2244\n']	['2019']	['\n7\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['miRNA functions in stem cells and their niches: lessons from the Drosophila ovary']	['Current Opinion in Insect Science']	['31']	[',\npp.\n29-36\n']	[]	['2019']	['\n4\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Expression profiles and prognostic value of miRNAs in retinoblastoma']	['Journal of Cancer Research and Clinical Oncology']	['145']	['(1)']	[]	['2019']	['\n9\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Aberrant localization of signaling proteins in skin cancer: Implications for treatment']	['Molecular Carcinogenesis']	['58']	['(9)']	[',\npp.\n1631-1639\n']	['2019']	['\n1\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Metabolism and autoimmune responses: The microRNA connection']	['Frontiers in Immunology']	['10']	['(AUG)']	[',1969']	['2019']	['\n9\n']
['The Role of Exportin-5 in MicroRNA Biogenesis and Cancer']	['Involving the microRNA targetome in esophageal-cancer development and behavior']	['Cancers']	['10']	['(10)']	[',381']	['2018']	['\n4\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Alkylative damage of mrna leads to ribosome stalling and rescue by trans translation in bacteria']	['eLife']	['9']	[',e61984']	[',\npp.\n1-24\n']	['2020']	[]
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['A census and categorization method of epitranscriptomic marks']	['International Journal of Molecular Sciences']	['21']	['(13)']	[',4684']	['2020']	[]
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	["Mitochondrial tRNA methylation in Alzheimer's disease and progressive supranuclear palsy"]	['BMC Medical Genomics']	['13']	['(1)']	[',71']	['2020']	[]
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['The emerging roles of RNA modifications in glioblastoma']	['Cancers']	['12']	['(3)']	[',736']	['2020']	['\n1\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Post-Transcriptional Regulation of Homeostatic, Stressed, and Malignant Stem Cells']	['Cell Stem Cell']	['26']	['(2)']	[',\npp.\n138-159\n']	['2020']	['\n4\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Mitoepigenetics and Its Emerging Roles in Cancer']	['Frontiers in Cell and Developmental Biology']	['8']	[',4']	[]	['2020']	['\n2\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Synthesis of a pH-Responsive Functional Covalent Organic Framework via Facile and Rapid One-Step Postsynthetic Modification and Its Application in Highly Efficient N', '-Methyladenosine Extraction']	['Analytical Chemistry']	['92']	['(1)']	[',\npp.\n1424-1430\n']	['2020']	['\n2\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Study on Urinary Candidate Metabolome for the Early Detection of Breast Cancer']	['Indian Journal of Clinical Biochemistry']	[]	[]	[]	['2020']	[]
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['TRNA cleavage: A new insight']	['Neural Regeneration Research']	['15']	['(1)']	[',\npp.\n47-52\n']	['2020']	['\n7\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Dysregulations of functional RNA modifications in cancer, cancer stemness and cancer therapeutics']	['Theranostics']	['10']	['(7)']	[',\npp.\n3164-3189\n']	['2020']	['\n1\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['RNA modifications and cancer']	['RNA Biology']	[]	[]	[]	['2020']	['\n2\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['LC/MS analysis and deep sequencing reveal the accurate RNA composition in the HIV-1 virion']	['Scientific Reports']	['9']	['(1)']	[',8697']	['2019']	['\n5\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['mRNA methylation in cell senescence']	['Wiley Interdisciplinary Reviews: RNA']	['10']	['(6)']	[',e1547']	['2019']	['\n3\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['m1A Regulated Genes Modulate PI3K/AKT/mTOR and ErbB Pathways in Gastrointestinal Cancer']	['Translational Oncology']	['12']	['(10)']	[',\npp.\n1323-1333\n']	['2019']	['\n8\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Unveiling the druggable RNA targets and small molecule therapeutics']	['Bioorganic and Medicinal Chemistry']	['27']	['(10)']	[',\npp.\n2149-2165\n']	['2019']	['\n9\n']
['Reversible RNA Modification N', '-methyladenosine (m', 'A) in mRNA and tRNA']	['Dissecting the role of RNA modification regulatory proteins in melanoma']	['Oncotarget']	['10']	['(38)']	[',\npp.\n3745-3759\n']	['2019']	['\n1\n']
